adsh	tag	version	coreg	ddate	qtrs	uom	value	footnote
0001031296-09-000011	CommonStockDividendsPerShareDeclared	us-gaap/2008		20090331	1	pure	0.5500	
0001031296-09-000011	CommonStockDividendsPerShareDeclared	us-gaap/2008		20080331	1	pure	0.5500	
0001031296-09-000011	EarningsPerShareBasic	us-gaap/2008		20090331	1	pure	0.3900	
0001031296-09-000011	EarningsPerShareBasic	us-gaap/2008		20080331	1	pure	0.9100	
0001031296-09-000011	EarningsPerShareDiluted	us-gaap/2008		20090331	1	pure	0.3900	
0001031296-09-000011	EarningsPerShareDiluted	us-gaap/2008		20080331	1	pure	0.9000	
0001193125-09-088631	OtherComprehensiveIncomeFinalizationOfPensionAndNonPensionPostretirementPlanValuationTax	us-gaap/2008		20090331	1	USD	15000.0000	
0000891618-09-000166	ShortTermBorrowings	us-gaap/2008		20081231	0	USD	2818000000.0000	
0001193125-09-111401	CashAndCashEquivalentsAtCarryingValue	us-gaap/2008		20090331	0	USD	1730000.0000	
0001193125-09-088639	OtherComprehensiveIncomeDerivativesQualifyingAsHedgesTaxEffectPeriodIncreaseDecrease	us-gaap/2008		20090331	1	USD	18295000.0000	
0001193125-09-109617	IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare	us-gaap/2008		20080331	1	USD	0.0100	
0001002638-09-000023	DepreciationNonproduction	us-gaap/2008		20080331	3	USD	9645000.0000	
0000950123-09-008550	CommonStockSharesAuthorized	us-gaap/2008		20081231	0	shares	60000000.0000	
0001193125-09-101273	PaymentsToAcquirePropertyPlantAndEquipment	us-gaap/2008		20080331	1	USD	373100000.0000	
0001193125-09-096522	PaymentsForRepurchaseOfCommonStock	us-gaap/2008		20090331	1	USD	100100000.0000	
0001193125-09-111401	PaymentsToAcquirePropertyPlantAndEquipment	us-gaap/2008		20090331	1	USD	139000.0000	
0001104659-09-029605	NetIncomeLoss	us-gaap/2008		20090331	1	USD	17839000.0000	
0000277948-09-000066	DeferredIncomeTaxExpenseBenefit	us-gaap/2008		20090331	1	USD	79000000.0000	
0000092380-09-000018	PaymentsForProceedsFromOtherOperatingActivities	0000092380-09-000018		20080331	1	USD	325000000.0000	
0001193125-09-111401	ProvisionForDoubtfulAccounts	us-gaap/2008		20090331	1	USD	135000.0000	
0001031296-09-000011	ElectricWorldwideUnregulatedRevenue	us-gaap/2008		20080331	1	USD	364000000.0000	
0001031296-09-000011	IncreaseDecreaseInPrepaidExpense	us-gaap/2008		20080331	1	USD	-100000000.0000	
0000950134-09-009913	AccumulatedDepreciationDepletionAndImpairment	0000950134-09-009913		20090331	0	USD	-3732599000.0000	
0000891618-09-000150	IncomeLossFromContinuingOperationsPerBasicShare	us-gaap/2008		20080331	1	USD	0.8000	
0000950123-09-008550	PreferredStockValue	us-gaap/2008		20090331	0	USD	0.0000	
0001104659-09-025790	OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax	us-gaap/2008		20080331	1	USD	736000.0000	
0000796343-09-000026	AdditionalPaidInCapital	us-gaap/2008		20081130	0	USD	2396819000.0000	
0001193125-09-124260	AccountsPayable	us-gaap/2008		20090430	0	USD	65000000.0000	
0000796343-09-000026	DeferredIncomeTaxesAndTaxCredits	us-gaap/2008		20080531	2	USD	69655000.0000	
0000796343-09-000026	CommonStockSharesAuthorized	us-gaap/2008		20081130	0	shares	900000000.0000	
0000796343-09-000026	AccumulatedOtherComprehensiveIncomeLossNetOfTax	us-gaap/2008		20081130	0	USD	57222000.0000	
0000038074-09-000029	IncreaseDecreaseInAccountsReceivable	us-gaap/2008		20090331	4	USD	-3457000.0000	
0001193125-09-088639	NoncontrollingInterest	0001193125-09-088639		20090331	1	USD	-1444000.0000	
0001193125-09-088631	DerivativeAssetsNoncurrent	us-gaap/2008		20081231	0	USD	55945000.0000	
0000796343-09-000026	AccountsReceivableNetCurrent	us-gaap/2008		20090531	0	USD	262598000.0000	
0001002638-09-000023	IncomeTaxes	0001002638-09-000023		20090331	3	USD	9656000.0000	
0001193125-09-091929	SalesRevenueNet	us-gaap/2008		20090331	1	USD	2123000000.0000	
0000092380-09-000018	OtherCostAndExpenseOperating	us-gaap/2008		20090331	1	USD	328000000.0000	
0001104659-09-029605	EarningsPerShareDiluted	us-gaap/2008		20090331	1	USD	0.6400	
0001193125-09-102866	DeferredTaxLiabilitiesNoncurrent	us-gaap/2008		20081231	0	USD	1723000000.0000	
0001193125-09-088631	NetCashProvidedByUsedInFinancingActivities	us-gaap/2008		20080331	1	USD	9708000.0000	
0001193125-09-124260	RetainedEarningsAccumulatedDeficit	us-gaap/2008		20090131	0	USD	241500000.0000	
0001031296-09-000011	AccountsPayable	us-gaap/2008		20090331	0	USD	704000000.0000	
0000950134-09-009913	MinorityInterestInNetIncomeLossOfConsolidatedEntities	us-gaap/2008		20090331	1	USD	3000.0000	
0001031296-09-000011	LongTermInvestments	us-gaap/2008		20090331	0	USD	2899000000.0000	
0000796343-09-000026	RestructuringCharges	us-gaap/2008		20090531	2	USD	15801000.0000	
0000950123-09-008550	Goodwill	us-gaap/2008		20081231	0	USD	50371000.0000	
0001193125-09-111401	CashAndCashEquivalentsPeriodIncreaseDecrease	us-gaap/2008		20090331	1	USD	-332000.0000	
0001193125-09-111401	Revenues	us-gaap/2008		20080331	1	USD	4991000.0000	
0000891618-09-000166	CashAndCashEquivalentsAtCarryingValue	us-gaap/2008		20081231	0	USD	9347000000.0000	
0000277948-09-000066	Depreciation	us-gaap/2008		20090331	1	USD	224000000.0000	
0000891618-09-000150	PaymentsOfDividendsCommonStock	us-gaap/2008		20090331	1	USD	-49000000.0000	
0001193125-09-088639	PaymentsOfDividends	us-gaap/2008		20090331	1	USD	18060000.0000	
0000831259-09-000047	SellingGeneralAndAdministrativeExpense	us-gaap/2008		20090331	1	USD	62000000.0000	
0000891618-09-000166	StockholdersEquity	us-gaap/2008		20081231	0	USD	87117000000.0000	
0001193125-09-101639	AccountsPayable	us-gaap/2008		20081231	0	USD	767600000.0000	
0000891618-09-000166	CostOfPurchasedOilAndGas	us-gaap/2008		20090331	1	USD	20400000000.0000	
0001031296-09-000011	IncreaseDecreaseInAccountsAndOtherReceivables	us-gaap/2008		20090331	1	USD	46000000.0000	
0001031296-09-000011	TaxesOtherThanIncomeExciseProductionAndPropertyTaxes	us-gaap/2008		20090331	1	USD	211000000.0000	
